Date_GMT,Time_GMT,depth,X,Y,Xcorr,Ycorr,Lat1Hz,Lon1Hz,pitch,roll,heading_geo,heading_mag,speed,divenumber,divenumber_inc_inaccuratedepth,light2,pred_divetype,wet-dry,datetimenumeric,strokingrate,detectedfeeding
11/17/13,14:36:33,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.458919318280868,3.135024055084564,6.101767809631949,6.077333200104028,3.42053432130935,\N,\N,65535,\N,202,1384698993,0,\N
11/17/13,14:36:34,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3758357129089185,3.133487976010507,6.12392829047013,6.099493680942209,3.4203534277169485,\N,\N,65535,\N,210,1384698994,0,\N
11/17/13,14:36:35,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.445250826655876,3.057352789108667,6.071399634457903,6.046965024929982,3.420546044921268,\N,\N,65535,\N,172,1384698995,0,\N
11/17/13,14:36:36,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3206619382937035,-3.1064847501011803,6.225248604814908,6.200813995286987,3.420503492964744,\N,\N,65535,\N,83,1384698996,0,\N
11/17/13,14:36:37,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3328390098068699,-2.93506366877953,0.07278562112374037,0.048351011595819754,3.4206742427704553,\N,\N,65535,\N,177,1384698997,0,\N
11/17/13,14:36:38,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.453469870006561,-2.8167299078456463,0.2043630471683948,0.17992843764047417,3.42074197938975,\N,\N,65535,\N,154,1384698998,0,\N
11/17/13,14:36:39,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.4529123210686543,-3.1028746104492617,6.215344399464794,6.190909789936873,3.420916002242433,\N,\N,65535,\N,189,1384698999,0,\N
11/17/13,14:36:40,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3826644399531012,3.042450468695807,6.126283347348096,6.101848737820175,3.4211646361835983,\N,\N,65535,\N,87,1384699000,0,\N
11/17/13,14:36:41,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.379819166350287,-2.81717040388491,0.25900656652515985,0.23457195699723923,3.421289222101372,\N,\N,65535,\N,164,1384699001,0,\N
11/17/13,14:36:42,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.4214345766816014,-2.9024674946102684,0.19299817912465492,0.1685635695967343,3.4215308369910082,\N,\N,65535,\N,194,1384699002,0,\N
